Label,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Best Month,Worst Month,Total Return,Years,Lookback,K_val
LB6_K14,0.4611036377001978,0.4629681571202068,0.27310203726760485,0.6969038840736246,-0.5868073110508703,0.7857837300534669,0.6336996336996337,1.2489766115835794,-0.22157853432119354,5577.189333036089,22.75,6,14
LB6_K15,0.442796303329577,0.443851282107862,0.27322548893024057,0.6680741340905607,-0.5951985990416241,0.7439471531730047,0.6483516483516484,1.1653831633820038,-0.215043845661049,4186.108606168442,22.75,6,15
LB6_K16,0.4351188520444398,0.4278751997581367,0.27705514156294286,0.6536028165124079,-0.5841912162506767,0.7448226538512864,0.652014652014652,1.0946844817795132,-0.21594448235008354,3707.506378960326,22.75,6,16
LB6_K17,0.42688822201176446,0.410649230597427,0.2813800610788566,0.640158832371758,-0.5806212619192962,0.7352266443027711,0.6446886446886447,1.0263315262154626,-0.21455696839071034,3252.654503703924,22.75,6,17
LB6_K18,0.41949831539175775,0.3962549705798892,0.2849771388008306,0.6382346635664699,-0.5792073959812429,0.7242627050386331,0.6410256410256411,0.9686373655470644,-0.2086325050793988,2890.1362106978077,22.75,6,18
LB6_K19,0.4149340404437267,0.38337063955000916,0.28962987634666576,0.6387857904001403,-0.568155224303149,0.7303180938847295,0.6446886446886447,0.9103536780918491,-0.20727132416472654,2685.8810184703098,22.75,6,19
LB6_K20,0.40570181243974845,0.3711763230564096,0.29139061456726295,0.6318795029979898,-0.5585449754898958,0.7263547793692179,0.6446886446886447,0.8655515569915708,-0.20526676982613576,2314.1034863320356,22.75,6,20
LB9_K1,0.2899838140118942,2.986644634850597,0.09923292396394752,0.7473719659540429,-0.8102430883017111,0.3578973004505441,0.5296296296296297,13.616670367387592,-0.686953852726863,306.7130207734202,22.5,9,1
LB9_K2,0.41091792605453437,1.5582280747893211,0.12883508421576714,0.6749075312192884,-0.6400624909768409,0.641996573533634,0.5851851851851851,6.864650601048207,-0.4418979897029326,2309.943910011445,22.5,9,2
LB9_K3,0.513690640890754,1.1178971014602954,0.16810502078359663,0.6880985499278157,-0.6897824404251658,0.7447140008002046,0.6222222222222222,4.732782380518416,-0.4000575583822279,11240.786377678802,22.5,9,3
LB9_K4,0.5477070591078048,0.8855442789135739,0.19876491956244258,0.7241640011793679,-0.6293967321683352,0.8702095691232757,0.6259259259259259,3.606952547090514,-0.32702590791545605,18534.195748305803,22.5,9,4
LB9_K5,0.5438458181599009,0.7528017991496099,0.2182871741039805,0.7432410894132276,-0.6459614368565929,0.8419168500311539,0.6370370370370371,2.977419008124832,-0.28302047459425683,17521.18774548073,22.5,9,5
LB9_K6,0.5518248413981308,0.6531637435638104,0.24234536584419222,0.7788765656170356,-0.5978620076988544,0.9229970031413792,0.6259259259259259,2.476337423233995,-0.23538940809784523,19676.08417971909,22.5,9,6
LB9_K7,0.5113272759196814,0.5871272534115897,0.24695088661565803,0.7357491515436297,-0.5323402560756395,0.9605271630012283,0.6222222222222222,2.172142961380804,-0.22718334273273136,10852.422498310916,22.5,9,7
LB9_K8,0.4983487729878502,0.5370205535002613,0.2586541129429944,0.7456589983130932,-0.5507598408084146,0.9048386176021213,0.6444444444444445,1.9053965903339505,-0.21423020044351815,8938.034677999882,22.5,9,8
LB9_K9,0.5094626967812399,0.5004048032051117,0.2768974084383248,0.7555052624309989,-0.5364057075480199,0.9497712078979548,0.6518518518518519,1.697073784953872,-0.21042000025115357,10555.103950034314,22.5,9,9
LB9_K10,0.5663138435908814,0.5996504545466914,0.26164917007000316,0.8700886961513172,-0.5562391464516223,1.0181121684863927,0.6444444444444445,1.8113124428062939,-0.21194589476207973,24252.403584046784,22.5,9,10
LB9_K11,0.5488340620621623,0.5549467503383736,0.27051824566611854,0.8443465197134481,-0.5774584332770448,0.9504304213682693,0.6518518518518519,1.6474492231103108,-0.20929354684740217,18840.264648577737,22.5,9,11
LB9_K12,0.5521945267256756,0.5235714749944977,0.28342719245067766,0.8418257258523566,-0.5514648678970993,1.0013231284004704,0.6777777777777778,1.5134622437817182,-0.2050608645726976,19781.825653930566,22.5,9,12
LB9_K13,0.5207504660879778,0.49587031003117604,0.28319866455988985,0.7800748912031948,-0.5645619341382253,0.9223974104504169,0.674074074074074,1.3984874186806082,-0.20332904638062138,12481.571443424327,22.5,9,13
LB9_K14,0.5071672105109879,0.4772288544612475,0.2855263985725696,0.7796691031398958,-0.5566863636667507,0.9110465849574744,0.6666666666666666,1.3406492494200943,-0.19823581012263466,10199.755455604141,22.5,9,14
LB9_K15,0.4772138095994669,0.4580200207828154,0.2812881984479592,0.741212301957795,-0.5610348717854086,0.850595628897017,0.6703703703703704,1.249242927196994,-0.1947710308235281,6492.451133743664,22.5,9,15
LB9_K16,0.461186459237082,0.43879748784390404,0.28297734950304704,0.7291573877144321,-0.5588589344190046,0.8252287488550866,0.674074074074074,1.1750297185226213,-0.19329003312553736,5079.153988927483,22.5,9,16
LB9_K17,0.4440104386560837,0.42553916484212934,0.2814223499599922,0.7206639575977724,-0.5620665837215928,0.7899605696466994,0.6703703703703704,1.1112268883400593,-0.19411192590971346,3892.431035722754,22.5,9,17
LB9_K18,0.4334230395888492,0.41217907284945887,0.28295175442855003,0.6950498516222449,-0.5766595745468995,0.7516098903402479,0.6555555555555556,1.0494892766821327,-0.1971480375478987,3298.3133539218006,22.5,9,18
LB9_K19,0.42728691066177804,0.39725161207172366,0.28755068357960545,0.6857900927424381,-0.5744592745868471,0.7438071410181063,0.6814814814814815,0.9960532230537131,-0.19700823859716077,2994.738268596063,22.5,9,19
LB9_K20,0.422474604749848,0.38500121308931295,0.2916119784602927,0.6973961147711013,-0.5812200795057963,0.7268754464041788,0.674074074074074,0.9493632886141267,-0.2002709861152042,2775.525964021898,22.5,9,20
LB12_K1,0.18152233120570127,2.989489052915409,0.0889759287125079,0.6632081464577463,-0.9183372515469362,0.19766412709484177,0.5056179775280899,13.616670367387592,-0.686953852726863,39.91033537322562,22.25,12,1
LB12_K2,0.4260900044034046,1.5637263333218892,0.13024532449819778,0.7121511849429507,-0.7206986525001012,0.5912179840010798,0.5730337078651685,6.864650601048207,-0.4418979897029326,2689.1055679418705,22.25,12,2
LB12_K3,0.43195562748061067,1.09874057663728,0.15230828194947685,0.6948481717796778,-0.7418554566887641,0.5822638676928032,0.5805243445692884,4.652921416301074,-0.3530464267531046,2946.35685687448,22.25,12,3
