CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 5Y,Worst Mo,Best Mo,Lookback,K,Composite
0.3510373675534981,0.18321384984103542,0.4587525993937756,0.9280319308897796,-0.1606736985378875,2.1847842599498146,0.575091575091575,1.0,-0.11399601880781185,0.22947303309068898,6,12,0.4845
0.35446760635326857,0.17645218066063068,0.47869540000800354,0.9931322612439941,-0.12767428017506616,2.776343096410842,0.5787545787545788,1.0,-0.12331578421358554,0.20680636668340424,6,13,0.582
0.3619858713876296,0.17363897890609178,0.49505927527305654,1.0437278259083467,-0.11902355086904931,3.041296186717614,0.5934065934065934,1.0,-0.1190235508690494,0.19800003187795276,6,14,0.698
0.3579714728433241,0.1687183151031827,0.5030212029777564,1.040187549288945,-0.12008402131541374,2.9810083716556517,0.5934065934065934,1.0,-0.12008402131541368,0.18699711006966718,6,15,0.7055
0.3507932654772472,0.16515208903980425,0.5034301941415575,1.0200864792119746,-0.11235382405284101,3.1222191895512696,0.5970695970695971,1.0,-0.11235382405284097,0.17547607550878402,6,16,0.7175
0.3462229812093791,0.1630422477604956,0.5032262283433324,1.0185403489355898,-0.10888857594695348,3.1796079450799897,0.6043956043956044,1.0,-0.10888857594695343,0.17373482657116646,6,17,0.711
0.3346892490764062,0.1605236683264626,0.4945656013337248,0.999694996557959,-0.1080485903871267,3.097580892793232,0.6117216117216118,1.0,-0.10804859038712666,0.18195260043117795,6,18,0.6425
0.33014310610606556,0.1601497703328585,0.4893102002633412,0.989460149939805,-0.10491055473739397,3.1469007759272714,0.5970695970695971,1.0,-0.10491055473739393,0.1806957145128807,6,19,0.614
0.3227965434165023,0.15821662079792156,0.4844373661229725,0.9649328386507106,-0.10359706420287962,3.1158850484831575,0.5970695970695971,1.0,-0.10359706420287966,0.1767419113227589,6,20,0.5635
0.4708562443530342,0.492504887353226,0.27681019584730576,0.5528210713402423,-0.5494538507795522,0.8569532157887226,0.5111111111111111,0.9620853080568721,-0.30026631767182577,0.7414521252787116,9,1,0.3185
0.5859219039554029,0.38816525106860966,0.37889699631053586,0.7113577947809564,-0.39874713271097234,1.469407190396281,0.5592592592592592,1.0,-0.26009532597811374,0.7313679010737817,9,2,0.4045
0.5717994759547433,0.32306528395628503,0.4281485865727097,0.8538530086633404,-0.2531894854609748,2.258385552281859,0.6,1.0,-0.19024914073340857,0.4818542596259123,9,3,0.5455000000000001
0.5386567137870275,0.2803680795237637,0.45899054558447294,0.8755703722957988,-0.22386189754366895,2.4062009645118425,0.6074074074074074,1.0,-0.17972617567970553,0.4418043837322775,9,4,0.6265000000000001
0.5270377406363578,0.25908797282749346,0.48224356387592177,0.9377025670214222,-0.20250928025084827,2.6025362392455103,0.6,1.0,-0.15577883894524547,0.3586302901077057,9,5,0.702
0.49996686031151394,0.24284599764745407,0.4881594219160516,0.9514972518868772,-0.1851555115779779,2.7002537275319174,0.6,1.0,-0.14363682990561202,0.2990462942340972,9,6,0.736
0.46718240047788284,0.22880935074621309,0.485402459072483,0.9226378587917897,-0.1644652122118807,2.8406153142952277,0.6074074074074074,1.0,-0.1384785277026759,0.3123672406266596,9,7,0.7050000000000001
0.4661136277541098,0.21786571686781434,0.5057061446335452,1.0242513308887715,-0.1508859160203301,3.089179162959825,0.6111111111111112,1.0,-0.1165345280504831,0.28951841817147805,9,8,0.8185000000000001
0.4607100618114508,0.21079551651256637,0.5154688528903436,1.0837720099386914,-0.14672286422242495,3.140001827615879,0.6111111111111112,1.0,-0.10674667992402426,0.2713671694916524,9,9,0.838
0.444949718970437,0.20168106887129741,0.5202014895141162,1.130150799268835,-0.14746409750967704,3.017342705679517,0.6148148148148148,1.0,-0.10402578248147676,0.25221767570175013,9,10,0.8205
0.43207763447358594,0.19357506891617743,0.5261132238234382,1.1174164389987198,-0.14516172059663235,2.9765259925116223,0.6037037037037037,1.0,-0.10601222284430638,0.2364531819172325,9,11,0.8019999999999999
0.41882391931789154,0.1872524820288168,0.5273888160307526,1.1108852037932833,-0.15981676736420097,2.620650675303975,0.6074074074074074,1.0,-0.10912363219988246,0.22448757927553542,9,12,0.7909999999999999
0.4190613480699139,0.18231399324365516,0.5405949760133716,1.1532091071634498,-0.1578867228508011,2.65418991859066,0.6037037037037037,1.0,-0.10920771778998771,0.21456501039811887,9,13,0.802
0.40680483552262414,0.18019996502896388,0.5320689492654131,1.101699151901725,-0.16401380973381535,2.480308433679116,0.6074074074074074,1.0,-0.10937957099031524,0.22416068091063224,9,14,0.7754999999999999
0.3909696433051484,0.17603501887890957,0.524383111346744,1.0958321100035409,-0.1720043086055374,2.273022382257707,0.6111111111111112,1.0,-0.09289884437758254,0.2192418832924303,9,15,0.7484999999999999
0.3694056018882843,0.1715876649280919,0.5098392816172377,1.02529460964198,-0.16621791563421692,2.222417484173048,0.6148148148148148,1.0,-0.10128794254386793,0.20498611803419575,9,16,0.698
